Participant,Format,FixationIndex,FixationDuration,treebg,treetotal,treerainy,treesunny,treerl,treerh,treesl,treesh,treequestion,vennbg,vennrh,vennrl,vennsl,venntotal,vennquestion
5,tree,8,217,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,9,167,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,10,400,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,11,167,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,12,183,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,13,250,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,14,217,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,15,83,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,16,100,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,17,250,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,18,83,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,19,100,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,20,167,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,21,133,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,22,200,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,23,183,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,24,117,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,25,150,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
5,tree,26,184,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,27,83,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,1,333,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,2,100,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,3,100,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,4,100,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,5,136,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,6,184,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,7,167,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,8,117,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,9,150,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
6,tree,10,134,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,11,83,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,12,84,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,13,134,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,14,150,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,15,151,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,16,117,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,17,100,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,18,150,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,19,83,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,20,100,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,21,83,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,22,235,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,23,133,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,24,83,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,25,117,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,26,233,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,27,83,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,28,100,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,29,100,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,30,100,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,31,83,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,32,168,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,33,117,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,34,83,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
